Person,Date,Stars,Reviews,Sentiment
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Brigitte ,"16 Jan, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Brigitte ,"16 Jan, 2021",No stars,No Review,0
lucky7girl ,"15 Jul, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Brigitte ,"16 Jan, 2021",No stars,No Review,0
lucky7girl ,"15 Jul, 2021",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Brigitte ,"16 Jan, 2021",No stars,No Review,0
lucky7girl ,"15 Jul, 2021",No stars,No Review,0
Circé ,"19 Feb, 2022",No stars,No Review,0
Susan Shadanbaz ,"02 Jul, 2021",No stars,No Review,0
Roxane ,"17 Nov, 2021",No stars,No Review,0
Brigitte ,"16 Jan, 2021",No stars,No Review,0
lucky7girl ,"15 Jul, 2021",No stars,No Review,0
Circé ,"19 Feb, 2022",No stars,No Review,0
